,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2009-07-27,1.0812,1603.257,28049.57,1.0344,0.4404,1.353,0.64,68.38,953.82,254,0.49625,0.28,78.626,95.19
2009-07-28,1.0814,1599.09,27562.26,1.0755,0.4332,1.327,0.637,67.23,937.58,251.5,0.49125,0.282,78.85,94.55
2009-07-29,1.0894,1591.995,27275.26,1.1585,0.4823,1.278,0.64,63.35,930,247.2,0.4875,0.278,79.63,94.99
2009-07-30,1.0834,1611.135,27852.81,1.1665,0.4721,1.471,0.63,66.94,934.4,256.4,0.48313,0.278,79.285,95.56
2009-07-31,1.0776,1612.312,28140.9,1.1113,0.468,1.415,0.611,69.45,954,262.35,0.47938,0.269,78.347,94.68
2009-08-03,1.0658,1637.055,28140.9,1.1833,0.4629,1.421,0.609,71.58,956.8,273.85,0.47188,0.265,77.639,95.27
2009-08-04,1.0726,1642.031,28743.37,1.1996,0.4537,1.446,0.618,71.42,966.83,279.55,0.47063,0.266,77.765,95.23
2009-08-05,1.0705,1637.807,28828.95,1.2079,0.4659,1.47,0.651,71.97,963.58,281.2,0.46813,0.275,77.517,94.97
2009-08-06,1.0777,1628.819,28168.48,1.2001,0.4629,1.456,0.652,71.94,963.15,275.2,0.46438,0.262,78.065,95.46
2009-08-07,1.0813,1650.729,28408.46,1.2977,0.4884,1.473,0.672,70.93,954.95,278.55,0.46125,0.259,78.975,97.57
2009-08-10,1.0888,1645.258,28169.26,1.2335,0.4588,1.416,0.635,70.6,946.42,277.05,0.45875,0.277,79.256,97.15
2009-08-11,1.1017,1624.908,27740.94,1.1691,0.4404,1.347,0.612,69.45,946.1,273.65,0.45438,0.275,79.176,96
2009-08-12,1.0893,1644.229,27821.91,1.1532,0.4333,1.323,0.577,70.16,947.1,282.35,0.44969,0.27,78.79,96.06
2009-08-13,1.0872,1655.656,28261.07,1.0887,0.418,1.331,0.568,70.52,954.87,291.4,0.44,0.241,78.489,95.48
2009-08-14,1.0982,1641.544,28325.21,1.0485,0.4118,1.319,0.562,67.51,948.67,283.6,0.42938,0.264,78.885,94.94
2009-08-17,1.1086,1602.061,27499.02,1.008,0.4067,1.286,0.567,66.75,934.68,277.05,0.43125,0.251,79.292,94.51
2009-08-18,1.1011,1618.597,27871.1,1.0243,0.4067,1.288,0.571,69.19,938.65,276.15,0.425,0.249,78.937,94.69
2009-08-19,1.0953,1629.917,27910.07,0.9837,0.3914,1.273,0.537,72.42,941.97,276.05,0.41875,0.273,78.469,94.08
2009-08-20,1.0869,1647.853,27947.22,0.9837,0.3894,1.262,0.527,72.54,940.65,274.15,0.40688,0.269,78.384,94.2
2009-08-21,1.0812,1678.836,28289.31,1.0899,0.4026,1.345,0.53,73.89,953.78,288.05,0.39313,0.253,78.044,94.38
2009-08-24,1.0762,1677.943,28186.7,1.0163,0.3894,1.32,0.527,74.37,941.55,291.5,0.38688,0.252,78.271,94.56
2009-08-25,1.0868,1681.924,28527.75,1.0081,0.4149,1.293,0.522,72.05,944.75,285.6,0.38,0.255,78.243,94.19
2009-08-26,1.0973,1682.294,28507.14,1.0475,0.4456,1.294,0.522,71.43,945.55,285.7,0.37188,0.257,78.661,94.26
2009-08-27,1.0877,1687.164,28574.63,1.0396,0.4374,1.287,0.525,72.49,948.08,284.85,0.36063,0.256,78.009,93.52
2009-08-28,1.0917,1684.05,28692.28,1.0158,0.42,1.288,0.537,72.74,955.1,292.3,0.3475,0.253,78.366,93.6
2009-08-31,1.0938,1670.523,28407.39,0.9683,0.4149,1.28,0.537,69.96,951.19,280.8,#N/A,0.252,78.172,93.12
2009-09-01,1.1042,1633.633,27941.12,0.9049,0.3956,1.25,0.537,68.05,956.47,279.65,0.33438,0.244,78.76,92.92
2009-09-02,1.1051,1628.661,27976.18,0.8969,0.3843,1.242,0.567,68.05,978.55,280.25,0.33,0.262,78.376,92.22
2009-09-03,1.1019,1642.68,28552.09,0.9126,0.3955,1.253,0.545,67.96,991.85,284.35,0.32188,0.247,78.465,92.64
2009-09-04,1.0897,1664.336,28812.02,0.9281,0.4006,1.281,0.565,68.02,994.4,284.35,0.31438,0.243,78.136,93.01
2009-09-07,1.0778,1664.336,28812.02,0.928,0.4016,1.282,0.56,68.02,995.25,#N/A,0.30875,0.206,78.012,93.08
